SKU,Quantity,Reason,Month,Year
1152-WendyWig,1,CR-UNWANTED_ITEM,July,2022
100576BLACK-XL,1,AMZ-PG-APP-TOO-LARGE,July,2022
1152-WendyWig,1,CR-QUALITY_UNACCEPTABLE,July,2022
hulk001-L,2,CR-UNWANTED_ITEM,July,2022
christmasvaca011-L,1,AMZ-PG-APP-TOO-LARGE,July,2022
220745-AhoySailorCostume-WOMENS-S/M,1,CR-UNWANTED_ITEM,July,2022
acwig,1,CR-QUALITY_UNACCEPTABLE,July,2022
oktoberfestlederhosenPANTS-34,1,AMZ-PG-APP-TOO-SMALL,July,2022
100584-SheriffBoots-10/11,1,AMZ-PG-APP-TOO-LARGE,July,2022
PowerRangers-Green-SLShirt-XL,1,AMZ-PG-APP-TOO-LARGE,July,2022
A9249-MarvelDress-S,1,CR-UNWANTED_ITEM,July,2022
ElvisGlasses001-Gold,1,AMZ-PG-APP-TOO-LARGE,July,2022
sharkcostume-XXL,1,CR-UNWANTED_ITEM,July,2022
20282-XXL,1,AMZ-PG-APP-TOO-LARGE,July,2022
bvswwcostume-L,1,CR-UNWANTED_ITEM,July,2022
220074-PenguinChubSuit-Teen,1,AMZ-PG-APP-TOO-LARGE,July,2022
220834-GriswoldTie,1,AMZ-PG-BAD-DESC,July,2022
fearandloathingcostumeset-XL,1,CR-SWITCHEROO,July,2022
100576BROWN-S,1,AMZ-PG-APP-TOO-SMALL,July,2022
100576BROWN-L,1,AMZ-PG-APP-TOO-SMALL,July,2022
oktoberfestlederhosenPANTS-44,1,AMZ-PG-APP-TOO-LARGE,July,2022
plumtree001-L,1,CR-MISSED_ESTIMATED_DELIVERY,July,2022
220785-DumbDumber-ORNG-2XL,1,CR-DEFECTIVE,July,2022
XO011MBSTV-TopGunPajamaSuit-XS,1,AMZ-PG-APP-TOO-LARGE,July,2022
CowgirlShirt-204051-S,1,CR-MISSED_ESTIMATED_DELIVERY,July,2022
arresteddapron,1,AMZ-PG-APP-STYLE,July,2022
204089-ModernLife-XL,1,AMZ-PG-APP-TOO-LARGE,July,2022
PowerRangers-Red-SLShirt-2XL,1,CR-UNWANTED_ITEM,July,2022
220745-AhoySailorCostume-WOMENS-L/XL,1,AMZ-PG-BAD-DESC,July,2022
hulk003-XXL,1,AMZ-PG-APP-STYLE,July,2022
plumtree001-L,1,AMZ-PG-APP-TOO-SMALL,July,2022
feltmasks-Red,1,AMZ-PG-APP-TOO-LARGE,July,2022
QF009BBSTV-BlueyPajamas-3T,1,AMZ-PG-BAD-DESC,July,2022
bvswwcostume-M,1,CR-DEFECTIVE,July,2022
ricflare001-black,1,CR-DEFECTIVE,July,2022
sesame034-6,1,AMZ-PG-APP-STYLE,July,2022
204088-HopperHawaiianShirt-M,1,CR-QUALITY_UNACCEPTABLE,July,2022
220786-LT-DumbDumber-BLUE-L,1,CR-UNWANTED_ITEM,July,2022
220785-DumbDumber-ORNG-2XL,1,CR-UNWANTED_ITEM,July,2022
legendstemplered-XXL,1,CR-UNWANTED_ITEM,July,2022
usaboardshorts003-L,1,AMZ-PG-APP-TOO-SMALL,July,2022
220850-ChuckieCostume-2T,1,CR-DAMAGED_BY_FC,July,2022
ElvisGlasses001-Gold,1,AMZ-PG-APP-STYLE,July,2022
fearloathingglasses,1,CR-UNWANTED_ITEM,July,2022
CowgirlShirt-204051-XL,1,CR-DEFECTIVE,July,2022
ApolloShorts-XL,1,CR-MISSED_ESTIMATED_DELIVERY,July,2022
wonderwoman013-XL,1,AMZ-PG-APP-TOO-SMALL,July,2022
tmntskater001raph-M,1,CR-UNWANTED_ITEM,July,2022
blowupguitar,1,CR-SWITCHEROO,July,2022
aerosmith002-M,1,AMZ-PG-APP-TOO-SMALL,July,2022
220660gldsm,1,CR-QUALITY_UNACCEPTABLE,July,2022
ninjanogginmask-green,1,DID_NOT_LIKE_COLOR,July,2022
JLSN219-TuneSquadLOLA-XL,1,CR-UNWANTED_ITEM,July,2022
204088-HopperHawaiianShirt-XL,1,AMZ-PG-APP-TOO-LARGE,July,2022
CustomSublimationCape-Black,1,CR-MISSED_ESTIMATED_DELIVERY,July,2022
204074-QuaggyGiggityShirt-XL,1,AMZ-PG-APP-TOO-LARGE,July,2022
beautybeast001-L-XL,1,AMZ-PG-APP-TOO-SMALL,July,2022
220077-HotDogChubSuit-Teen,1,CR-UNWANTED_ITEM,July,2022
usaboardshorts003-S,1,CR-UNWANTED_ITEM,July,2022
leagueoftheirowncostume-L/XL,1,CR-DEFECTIVE,July,2022
DaleVest-L,1,CR-UNWANTED_ITEM,July,2022
BrennanVest-M,1,CR-UNWANTED_ITEM,July,2022
